Package,LibPath,Version,Priority,Built
acepack,/Users/peterhiggins/Library/R/3.4/library,1.4.1,NA,3.4.0
acs,/Users/peterhiggins/Library/R/3.4/library,2.1.2,NA,3.4.2
alluvial,/Users/peterhiggins/Library/R/3.4/library,0.1-2,NA,3.4.0
assertive.base,/Users/peterhiggins/Library/R/3.4/library,0.0-7,NA,3.4.0
assertive.files,/Users/peterhiggins/Library/R/3.4/library,0.0-2,NA,3.4.0
assertive.numbers,/Users/peterhiggins/Library/R/3.4/library,0.0-2,NA,3.4.0
assertive.properties,/Users/peterhiggins/Library/R/3.4/library,0.0-4,NA,3.4.0
assertive.types,/Users/peterhiggins/Library/R/3.4/library,0.0-3,NA,3.4.0
assertthat,/Users/peterhiggins/Library/R/3.4/library,0.2.0,NA,3.4.0
backports,/Users/peterhiggins/Library/R/3.4/library,1.1.2,NA,3.4.3
base64enc,/Users/peterhiggins/Library/R/3.4/library,0.1-3,NA,3.4.0
BH,/Users/peterhiggins/Library/R/3.4/library,1.65.0-1,NA,3.4.1
bindr,/Users/peterhiggins/Library/R/3.4/library,0.1,NA,3.4.0
bindrcpp,/Users/peterhiggins/Library/R/3.4/library,0.2,NA,3.4.0
bit,/Users/peterhiggins/Library/R/3.4/library,1.1-12,NA,3.4.0
bit64,/Users/peterhiggins/Library/R/3.4/library,0.9-7,NA,3.4.0
bitops,/Users/peterhiggins/Library/R/3.4/library,1.0-6,NA,3.4.0
blob,/Users/peterhiggins/Library/R/3.4/library,1.1.0,NA,3.4.0
broom,/Users/peterhiggins/Library/R/3.4/library,0.4.3,NA,3.4.3
Cairo,/Users/peterhiggins/Library/R/3.4/library,1.5-9,NA,3.4.0
callr,/Users/peterhiggins/Library/R/3.4/library,2.0.1,NA,3.4.3
caTools,/Users/peterhiggins/Library/R/3.4/library,1.17.1,NA,3.4.0
cellranger,/Users/peterhiggins/Library/R/3.4/library,1.1.0,NA,3.4.0
checkmate,/Users/peterhiggins/Library/R/3.4/library,1.8.5,NA,3.4.2
choroplethr,/Users/peterhiggins/Library/R/3.4/library,3.6.1,NA,3.4.0
chron,/Users/peterhiggins/Library/R/3.4/library,2.3-52,NA,3.4.3
classInt,/Users/peterhiggins/Library/R/3.4/library,0.1-24,NA,3.4.0
cli,/Users/peterhiggins/Library/R/3.4/library,1.0.0,NA,3.4.2
clipr,/Users/peterhiggins/Library/R/3.4/library,0.4.0,NA,3.4.2
clisymbols,/Users/peterhiggins/Library/R/3.4/library,1.2.0,NA,3.4.0
colorspace,/Users/peterhiggins/Library/R/3.4/library,1.3-2,NA,3.4.0
config,/Users/peterhiggins/Library/R/3.4/library,0.2,NA,3.4.0
cowplot,/Users/peterhiggins/Library/R/3.4/library,0.9.2,NA,3.4.3
crayon,/Users/peterhiggins/Library/R/3.4/library,1.3.4,NA,3.4.1
crosstalk,/Users/peterhiggins/Library/R/3.4/library,1.0.0,NA,3.4.0
csvy,/Users/peterhiggins/Library/R/3.4/library,0.1.3,NA,3.4.0
curl,/Users/peterhiggins/Library/R/3.4/library,3.1,NA,3.4.3
data.table,/Users/peterhiggins/Library/R/3.4/library,1.10.4-3,NA,3.4.2
dataMaid,/Users/peterhiggins/Library/R/3.4/library,1.0.0,NA,3.4.2
datapasta,/Users/peterhiggins/Library/R/3.4/library,3.0.0,NA,3.4.3
DBI,/Users/peterhiggins/Library/R/3.4/library,0.7,NA,3.4.0
dbplyr,/Users/peterhiggins/Library/R/3.4/library,1.2.0,NA,3.4.3
debugme,/Users/peterhiggins/Library/R/3.4/library,1.1.0,NA,3.4.2
desc,/Users/peterhiggins/Library/R/3.4/library,1.1.1,NA,3.4.1
desctable,/Users/peterhiggins/Library/R/3.4/library,0.1.1,NA,3.4.3
devtools,/Users/peterhiggins/Library/R/3.4/library,1.13.4,NA,3.4.2
digest,/Users/peterhiggins/Library/R/3.4/library,0.6.15,NA,3.4.3
dplyr,/Users/peterhiggins/Library/R/3.4/library,0.7.4,NA,3.4.2
DT,/Users/peterhiggins/Library/R/3.4/library,0.3,NA,3.4.3
